exchange,symbol,fundingTime,fundingRate,fundingRatePct,demo,normalized
binance,ETHUSDT,1581235200000,0.00063224,0.06322399999999999,True,True
binance,BTCUSDT,1581264000000,0.00113954,0.11395400000000001,True,True
binance,ETHUSDT,1581264000000,0.00136228,0.136228,True,True
binance,BTCUSDT,1581292800000,0.00106733,0.106733,True,True
binance,ETHUSDT,1581292800000,0.00130685,0.130685,True,True
binance,BTCUSDT,1581321600000,0.00125022,0.125022,True,True
binance,ETHUSDT,1581321600000,0.00193444,0.193444,True,True
binance,BTCUSDT,1581350400009,0.00097918,0.097918,True,True
binance,ETHUSDT,1581350400009,0.00295694,0.295694,True,True
binance,BTCUSDT,1581379200000,0.00043989,0.043989,True,True
binance,ETHUSDT,1581379200000,0.00118120,0.11812,True,True
binance,BTCUSDT,1581408000000,0.00064797,0.064797,True,True
binance,ETHUSDT,1581408000000,0.00150902,0.150902,True,True
binance,BTCUSDT,1581436800000,0.00050120,0.050120000000000005,True,True
binance,ETHUSDT,1581436800000,0.00107512,0.107512,True,True
binance,BTCUSDT,1581465600000,0.00300000,0.3,True,True
binance,ETHUSDT,1581465600000,0.00284470,0.28447,True,True
binance,BTCUSDT,1581494400001,0.00108055,0.108055,True,True
binance,ETHUSDT,1581494400001,0.00367190,0.36719,True,True
binance,BTCUSDT,1581523200000,0.00103884,0.103884,True,True
binance,ETHUSDT,1581523200000,0.00148984,0.148984,True,True
binance,BTCUSDT,1581552000001,0.00093553,0.093553,True,True
binance,ETHUSDT,1581552000001,0.00119193,0.119193,True,True
binance,BTCUSDT,1581580800000,0.00084403,0.08440299999999999,True,True
binance,ETHUSDT,1581580800000,0.00141789,0.141789,True,True
binance,BTCUSDT,1581609600000,0.00070414,0.070414,True,True
binance,ETHUSDT,1581609600000,0.00178950,0.17895,True,True
binance,BTCUSDT,1581638400000,0.00063320,0.06332,True,True
binance,ETHUSDT,1581638400000,0.00133922,0.13392199999999999,True,True
binance,BTCUSDT,1581667200000,0.00074453,0.07445299999999999,True,True
binance,ETHUSDT,1581667200000,0.00081527,0.081527,True,True
binance,BTCUSDT,1581696000000,0.00055952,0.055952,True,True
binance,ETHUSDT,1581696000000,0.00097804,0.09780399999999999,True,True
binance,BTCUSDT,1581724800000,0.00059113,0.059113000000000006,True,True
binance,ETHUSDT,1581724800000,0.00084363,0.08436300000000001,True,True
binance,BTCUSDT,1581753600000,0.00096860,0.09686,True,True
binance,ETHUSDT,1581753600000,0.00099519,0.099519,True,True
binance,BTCUSDT,1581782400000,0.00087369,0.087369,True,True
binance,ETHUSDT,1581782400000,0.00116429,0.11642899999999999,True,True
binance,BTCUSDT,1581811200000,0.00051202,0.051202,True,True
binance,ETHUSDT,1581811200000,0.00191229,0.191229,True,True
binance,BTCUSDT,1581840000000,0.00036973,0.036973000000000006,True,True
binance,ETHUSDT,1581840000000,0.00042143,0.042143,True,True
binance,BTCUSDT,1581868800000,0.00060847,0.060847,True,True
binance,ETHUSDT,1581868800000,0.00063291,0.063291,True,True
binance,BTCUSDT,1581897600000,0.00043179,0.043178999999999995,True,True
binance,ETHUSDT,1581897600000,0.00065370,0.06537,True,True
binance,BTCUSDT,1581926400000,0.00060960,0.06095999999999999,True,True
binance,ETHUSDT,1581926400000,0.00052153,0.052153,True,True
binance,BTCUSDT,1581955200000,0.00091076,0.091076,True,True
binance,ETHUSDT,1581955200000,0.00088411,0.088411,True,True
binance,BTCUSDT,1581984000000,0.00026967,0.026967,True,True
binance,ETHUSDT,1581984000000,0.00024205,0.024205,True,True
binance,BTCUSDT,1582012800000,0.00013952,0.013951999999999999,True,True
binance,ETHUSDT,1582012800000,0.00012422,0.012422,True,True
binance,BTCUSDT,1582041600000,0.00029662,0.029661999999999997,True,True
binance,ETHUSDT,1582041600000,0.00023619,0.023619,True,True
binance,BTCUSDT,1582070400000,0.00046396,0.046396,True,True
binance,ETHUSDT,1582070400000,0.00071740,0.07174,True,True
binance,BTCUSDT,1582099200001,0.00038487,0.038487,True,True
binance,ETHUSDT,1582099200001,0.00095567,0.095567,True,True
binance,BTCUSDT,1582128000000,0.00040757,0.040757,True,True
binance,ETHUSDT,1582128000000,0.00068394,0.068394,True,True
